id,reason,province,municipality
7323.0,address_missing,Limburg,Neerpelt
7467.0,address_missing,Luxembourg,Saint-Hubert
9010899.0,address_missing,,
9010900.0,address_missing,,
1412.0,not_available,Hainaut,La Hestre
1881.0,not_available,Antwerpen,Mechelen
4024.0,not_available,Antwerpen,Kapellen 
4166.0,not_available,Brabant Wallon,Waterloo
4424.0,not_available,Brabant Wallon,WALHAIN
94426.0,not_available,Bruxelles-Brussel,Brussel
94470.0,not_available,Oost-Vlaanderen,Gent
4606.0,not_available,Brabant Wallon,Genval	
4628.0,not_available,Liège,Vaux-Sous-Chèvrement
5075.0,not_available,Oost-Vlaanderen,Aalter
5957.0,not_available,Antwerpen,Antwerpen
7289.0,not_available,Limburg,Maasmechelen
7413.0,not_available,Oost-Vlaanderen,Temse
8479.0,not_available,Limburg,Beringen
8480.0,not_available,Limburg,Beringen
8482.0,not_available,Limburg,Beringen
99171.0,not_available,Bruxelles-Brussel,Anderlecht
9172.0,not_available,Hainaut,Haine-Saint-Paul
10112.0,not_available,Limburg,Leopoldsburg
10282.0,not_available,Bruxelles-Brussel,Brussel
10643.0,not_available,Limburg,Genk
11095.0,not_available,Bruxelles-Brussel,Bruxelles
11109.0,not_available,Brabant Wallon,MONT-SAINT-GUIBERT
101252.0,not_available,Brabant Wallon,Ottignies Louvain-la-Neuve
11758.0,not_available,Namur,Jambes
11759.0,not_available,Antwerpen,Burcht
11760.0,not_available,Antwerpen,Burcht
11761.0,not_available,Namur,Dourbes
11776.0,not_available,Hainaut,Chimay
11778.0,not_available,Oost-Vlaanderen,Sint-Lievens-Houtum
11788.0,not_available,Antwerpen,Westerlo
11790.0,not_available,Antwerpen,Geel
11791.0,not_available,Antwerpen,Antwerpen
11792.0,not_available,Bruxelles-Brussel,Watermael-Boitsfort
11799.0,not_available,Bruxelles-Brussel,Brussel
11800.0,not_available,Vlaams-Brabant,Groot Bijgaarden
11807.0,not_available,Oost-Vlaanderen,Gent
11814.0,not_available,Vlaams-Brabant,Winksele
11821.0,not_available,Antwerpen,Herentals
11822.0,not_available,Liège,Alleur
11823.0,not_available,Oost-Vlaanderen,Gent
11827.0,not_available,Liège,Glons
11832.0,not_available,West-Vlaanderen,Sint-Eloois-Vijve
11833.0,not_available,Limburg,Tongeren
11845.0,not_available,Brabant Wallon,TUBIZE
11882.0,not_available,Oost-Vlaanderen,WETTEREN
11883.0,not_available,Oost-Vlaanderen,WESTREM
11884.0,not_available,Oost-Vlaanderen,Wetteren
11885.0,not_available,Oost-Vlaanderen,WETTEREN
11886.0,not_available,Oost-Vlaanderen,WETTEREN
